path,seriesId,hash,validatedAt
src/fr/applications/ce1/maths/mesures/lire-heure-gen.md,1ab24156,e4094b241ed351c0,
src/fr/applications/ce1/maths/numeration/arrondir-centaine/arrondir-centaine.md,c4305c95,2b2dd4e01bc9c826,
src/fr/applications/ce1/maths/numeration/arrondir-dizaine/01-arrondir.md,1f733322,6492fece0bb9f8a3,
src/fr/applications/ce1/maths/numeration/blocs-valeur-position-01/blocs-valeur-position-01.md,a2e9f310,addacc70cf176eca,
src/fr/applications/ce1/maths/numeration/comparer-1000/comparer-1000.md,1aca14c0,2e7d5d38223198bf,
src/fr/applications/ce1/maths/numeration/decompo-gen/decompo-gen.md,cf457f3d,03a24105ba7d766e,
src/fr/applications/ce1/maths/numeration/pairs-impairs/pairs-impairs.md,121a53c7,9d2b7ce767d896e8,
src/fr/applications/ce1/maths/numeration/regle-graduee/regle-graduee-gen.md,d226ef83,130b9b51d402ef14,
src/fr/applications/ce1/maths/numeration/suites-ce1/suites-ce1.md,488ac8c6,635ea7f7a3810b5a,
src/fr/applications/ce1/maths/operations/addition-1/addition-1.md,7fb8f411,58f7b78b7b4aeab1,
src/fr/applications/ce1/maths/operations/addition-10/addition-10.md,9c936346,55e006a2b6edc0ad,
src/fr/applications/ce1/maths/operations/addition-11/addition-11.md,87a0efc1,4fd44b2c29932692,
src/fr/applications/ce1/maths/operations/addition-2/addition-2.md,1b1643b2,28efe67793a9b722,
src/fr/applications/ce1/maths/operations/addition-3/addition-3.md,75b31049,e3d6ae84a2d813cc,
src/fr/applications/ce1/maths/operations/addition-4/addition-4.md,d5b12470,3d35a57b21b0ef86,
src/fr/applications/ce1/maths/operations/addition-5/addition-5.md,eb192211,8d41d983ff56d502,
src/fr/applications/ce1/maths/operations/addition-6/addition-6.md,c84d9bd3,7bf2baa789af1613,
src/fr/applications/ce1/maths/operations/addition-7/addition-7.md,f28593db,033fcb0681e8916c,
src/fr/applications/ce1/maths/operations/addition-8/addition-8.md,c133bdd6,e0a44886927e88b4,
src/fr/applications/ce1/maths/operations/addition-9/addition-9.md,ed3d6003,1f19a107a38b2251,
src/fr/applications/ce1/maths/operations/addition-simple/addition-simple-gen.md,2f609f6f,46cbb3b14e690861,
src/fr/applications/ce1/maths/operations/addition-trou/addition-trou.md,a1b2c3d4,1ee0be0c8a283ba1,
src/fr/applications/ce1/maths/operations/ajouter-100/ajouter-100.md,2ad23fe1,0f4d0f75957f882a,
src/fr/applications/ce1/maths/operations/ajouter-soustraire-10/ajouter-soustraire-10.md,e2cfe849,2906439a3553614d,
src/fr/applications/ce1/maths/operations/comparer-expressions/comparer-expr-gen.md,b8c9d0e1,5b9ceb367ef59a4b,
src/fr/applications/ce1/maths/operations/complements-100/complements-100.md,16a90f5f,f468cafa05788eca,
src/fr/applications/ce1/maths/operations/doubles-moities/doubles-moities.md,d4f7c81d,9206b20c2a56aaeb,
src/fr/applications/ce1/maths/operations/familles-faits/familles-add-gen.md,e5f6a7b8,651c35d566ba94d0,
src/fr/applications/ce1/maths/operations/fruits-facile/01-fruits.md,3a48dc2d,f983a25d3323acf6,
src/fr/applications/ce1/maths/operations/fruits-moyen/01-fruits.md,3f51c4dc,98f91d2846445300,
src/fr/applications/ce1/maths/operations/insectes-facile/01-insectes.md,4ea05afd,87182d062502868b,
src/fr/applications/ce1/maths/operations/insectes-moyen/01-insectes.md,a01ef6c8,abf974c27e82b571,
src/fr/applications/ce1/maths/operations/multiplication-simple/multiplication-simple.md,4ae726c4,822b4a92bcfbe483,
